epoch,loss,accuracy,val_loss,val_accuracy
1,2.1558806896209717,0.3217240571975708,1.3829147815704346,0.5637282133102417
2,1.4373462200164795,0.5303059220314026,1.0754700899124146,0.695395827293396
3,1.2340198755264282,0.608909010887146,0.9179952144622803,0.7436833381652832
4,1.0791289806365967,0.6620165705680847,0.804985761642456,0.7742841243743896
5,0.9920184016227722,0.7005003094673157,0.7219424843788147,0.7933745384216309
6,0.9257237315177917,0.720319390296936,0.6775676608085632,0.8155530691146851
7,0.8500030636787415,0.7453338503837585,0.6112738847732544,0.8360471725463867
8,0.810908317565918,0.7579372525215149,0.5875542759895325,0.840819776058197
9,0.7779841423034668,0.7733307480812073,0.5594503283500671,0.8422234654426575
10,0.7269324660301208,0.7885318398475647,0.5316013693809509,0.854576051235199
11,0.7082791328430176,0.79286128282547,0.5062352418899536,0.8658057451248169
12,0.6904435753822327,0.7980565428733826,0.4879940450191498,0.8658057451248169
13,0.6579208374023438,0.8067154288291931,0.47976428270339966,0.8714205622673035
14,0.6447870135307312,0.8146045804023743,0.4623040556907654,0.8719820380210876
15,0.6175402998924255,0.8195112347602844,0.45146259665489197,0.8764739036560059
16,0.6120731830596924,0.822205126285553,0.4485557973384857,0.8747894167900085
17,0.5955283641815186,0.8250914216041565,0.44071483612060547,0.8764739036560059
18,0.5675620436668396,0.8379834294319153,0.4336717128753662,0.8801235556602478
19,0.5676999688148499,0.8349047303199768,0.4241786003112793,0.8815272450447083
20,0.5541139841079712,0.8386569023132324,0.41528046131134033,0.8854576349258423
21,0.548602283000946,0.839426577091217,0.408458948135376,0.8871420621871948
22,0.5417929887771606,0.8390417695045471,0.40677252411842346,0.8868613243103027
23,0.5299069881439209,0.8472195267677307,0.40506425499916077,0.8874228000640869
24,0.52224200963974,0.8502982258796692,0.39768216013908386,0.891633927822113
25,0.5140756964683533,0.8554935455322266,0.38703984022140503,0.8935990929603577
26,0.5081678628921509,0.8507792949676514,0.3866065442562103,0.8896687030792236
27,0.49660834670066833,0.8561670184135437,0.3808582127094269,0.8935990929603577
28,0.48973336815834045,0.8574177622795105,0.3817095458507538,0.8950027823448181
29,0.4858960807323456,0.8599191904067993,0.37759000062942505,0.8978102207183838
30,0.4747427999973297,0.861747145652771,0.3718726634979248,0.8972487449645996
31,0.48182934522628784,0.8591495156288147,0.37237781286239624,0.8980909585952759
32,0.465800017118454,0.8590533137321472,0.3692323863506317,0.8980909585952759
33,0.4648890495300293,0.8635751605033875,0.36759981513023376,0.8986524343490601
34,0.4604299068450928,0.8628054857254028,0.3609304130077362,0.9000561237335205
35,0.46034935116767883,0.8685780167579651,0.35724034905433655,0.9008983969688416
36,0.4433596134185791,0.8709832429885864,0.35896724462509155,0.9042672514915466
37,0.4452342391014099,0.8701173663139343,0.35595259070396423,0.9017406105995178
38,0.4402640461921692,0.8720415830612183,0.3634664714336395,0.9003368616104126
39,0.43553945422172546,0.8720415830612183,0.36514413356781006,0.8992139101028442
40,0.42590615153312683,0.874927818775177,0.3560054302215576,0.9037057757377625
41,0.42527130246162415,0.8741581439971924,0.3640708923339844,0.9003368616104126
42,0.41823139786720276,0.8765634298324585,0.342117041349411,0.9081976413726807
43,0.42014792561531067,0.8783913850784302,0.3486173152923584,0.9070746898651123
44,0.4203030467033386,0.8769482374191284,0.3416782319545746,0.905951738357544
45,0.4118131697177887,0.8776217103004456,0.34532734751701355,0.9056710004806519
46,0.42200925946235657,0.8756974935531616,0.3427755832672119,0.9076361656188965
47,0.4060588479042053,0.8809890151023865,0.339425653219223,0.9107243418693542
48,0.3975019156932831,0.8844525814056396,0.34115132689476013,0.9107243418693542
49,0.40772494673728943,0.8783913850784302,0.3395431935787201,0.909320592880249
50,0.40722793340682983,0.8788724541664124,0.33499687910079956,0.9104435443878174
51,0.38603702187538147,0.8861843347549438,0.33639922738075256,0.9118472933769226
52,0.3886214792728424,0.8857032656669617,0.32687070965766907,0.9143739342689514
53,0.3908883333206177,0.8847411870956421,0.3333984613418579,0.909320592880249
54,0.37695395946502686,0.8864729404449463,0.3348183035850525,0.9104435443878174
55,0.3816761076450348,0.8883971571922302,0.33334240317344666,0.9110050797462463
56,0.38700440526008606,0.8819511532783508,0.3387845754623413,0.9118472933769226
57,0.3835253119468689,0.8874350786209106,0.3275545835494995,0.9118472933769226
58,0.38385769724845886,0.8841639161109924,0.33183470368385315,0.9118472933769226
59,0.3770294785499573,0.8889744281768799,0.32172346115112305,0.912970244884491
60,0.37145185470581055,0.8897441029548645,0.33235183358192444,0.9112858176231384
61,0.37218502163887024,0.8901289105415344,0.3311734199523926,0.9098820686340332
62,0.3785640299320221,0.8861843347549438,0.3263048529624939,0.9118472933769226
